country_code,country_name,year,month,temperature
LT,Lithuania,2015,3,4.147345321192857
LT,Lithuania,2015,4,6.87739183108012
LT,Lithuania,2015,5,11.19165591270693
LT,Lithuania,2015,6,15.019123236338297
LT,Lithuania,2015,7,17.004910069127238
LT,Lithuania,2015,8,19.0938506895496
LT,Lithuania,2015,9,13.469425741831461
LT,Lithuania,2015,10,5.245276022822626
LT,Lithuania,2015,11,4.266768264397978
LT,Lithuania,2015,12,2.3714364243130523
LT,Lithuania,2016,1,-7.0479174333233985
LT,Lithuania,2016,2,1.4040163571721522
LT,Lithuania,2016,3,1.8573244906240898
LT,Lithuania,2016,4,7.1048636674880985
LT,Lithuania,2016,5,14.528213316394437
LT,Lithuania,2016,6,17.00476531982422
LT,Lithuania,2016,7,18.209826746294574
LT,Lithuania,2016,8,16.790493411402547
LT,Lithuania,2016,9,13.133665657043457
LT,Lithuania,2016,10,4.8450183611243
LT,Lithuania,2016,11,0.9866984590888022
LT,Lithuania,2016,12,0.48084402377266583
LT,Lithuania,2017,1,-3.729252936378603
LT,Lithuania,2017,2,-2.2705187786902705
LT,Lithuania,2017,3,3.3007420503324076
LT,Lithuania,2017,4,5.134974139680464
LT,Lithuania,2017,5,12.025954677212622
LT,Lithuania,2017,6,15.081586488087972
LT,Lithuania,2017,7,16.43061754780431
LT,Lithuania,2017,8,17.188512432959772
LT,Lithuania,2017,9,12.92170435587565
LT,Lithuania,2017,10,6.980098978165658
LT,Lithuania,2017,11,3.5537643323342007
LT,Lithuania,2017,12,0.9228099142351459
LT,Lithuania,2018,1,-1.8549035537627443
LT,Lithuania,2018,2,-6.542914194720131
LT,Lithuania,2018,3,-2.0869746479776596
LT,Lithuania,2018,4,9.808699945608776
LT,Lithuania,2018,5,16.35978255733367
LT,Lithuania,2018,6,17.06687510808309
LT,Lithuania,2018,7,20.169815278822377
LT,Lithuania,2018,8,19.033177037392893
LT,Lithuania,2018,9,14.577628469467163
LT,Lithuania,2018,10,8.143500989483249
