DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-09,0.10,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-05,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-06,15.69,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-07,15.94,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-08,8.05,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-09,0.48,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2019-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-05,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-06,0.86,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-07,4.31,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-08,4.78,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-09,0.05,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2020-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-05,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-06,12.04,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-07,8.05,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-08,4.53,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-09,0.03,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2021-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-05,0.01,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-06,7.01,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-07,13.43,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-08,8.95,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-09,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2022-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2010-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2010-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2010-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2010-04,0.00,
